cost_center,program_name,administering_department,department_acronym,policy_pillar,historical_amount_allocated_usd,historical_amount_obligated_usd,historical_amount_expended_usd,record_granularity,geographic_scope,financial_context,is_recipient_level_award,is_active_incentive_dollars,program_details_source_url,grants_summary_source_url,program_details_as_of,grants_summary_as_of
0214756,Management and Administration,Department of Housing,DOH,Effective Governance,332525.76,332525.76,332525.76,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
021A004,COVID-19 Emergency Response,Office of Budget & Management,OBM,Mental Health & Wellness,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
021A018,Management and Administration,Office of Budget & Management,OBM,Effective Governance,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0234768,Artist Relief and Works Fund,Department of Cultural Affairs and Special Events,DCASE,"Human Rights, Arts & Culture",12271226.95,12271226.95,12271226.92,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0234781,Tourism and Hospitality Recovery,Department of Cultural Affairs and Special Events,DCASE,Youth & Economy,16000000.01,16000000.01,14228622.62,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0234788,Together We Heal,Department of Cultural Affairs and Special Events,DCASE,"Human Rights, Arts & Culture",6078772.34,6078772.34,6078772.19,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0274888,Neighborhood Broadband Connectivity,Department of Finance,DOF,Housing & Homelessness Supports,4449206.00,4449206.00,695.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0274889,Management and Administration,Department of Finance,DOF,Effective Governance,1268523.75,1268523.75,1268523.75,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0334896,Management and Administration,Department of Human Resources,DOHR,Effective Governance,618685.33,618685.33,618685.33,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0382005,COVID-19 Emergency Response,Office of Budget & Management,OBM,Mental Health & Wellness,0.00,0.00,32280.70,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0384771,COVID-19 Emergency Response,Office of Budget & Management,OBM,Mental Health & Wellness,175962.86,175962.86,143682.16,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0384789,City Digital Services,Department of Technology and Innovation,DTI,Effective Governance,347830.74,347830.74,347830.74,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0412005,Essential City Services,Chicago Department of Public Health,CDPH,Effective Governance,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414761,Management and Administration,Chicago Department of Public Health,CDPH,Effective Governance,2040719.22,2040719.22,1843483.42,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414765,911 Alternative Response Program (CARE),Chicago Department of Public Health,CDPH,Mental Health & Wellness,6870109.40,6870109.40,3732327.22,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414766,Community Resource Navigators,Chicago Department of Public Health,CDPH,Mental Health & Wellness,8612064.25,8612064.25,8308447.48,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414772,Environmental Hazard Reduction Program,Chicago Department of Public Health,CDPH,Mental Health & Wellness,2044854.34,2044854.34,2044854.34,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414775,Family Connects Program,Chicago Department of Public Health,CDPH,Mental Health & Wellness,16438394.83,16438394.83,14050311.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414780,Mental Health Initiative,Chicago Department of Public Health,CDPH,Mental Health & Wellness,19400105.57,19400105.57,19033233.24,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414784,Community Safety Coordination Center (CSCC),Chicago Department of Public Health,CDPH,Community Safety,14211764.15,14211764.15,13122859.91,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414791,Victim Support Funding Program,Chicago Department of Public Health,CDPH,Community Safety,4651488.86,4651488.86,3771604.02,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414882,COVID-19 Vaccinations,Chicago Department of Public Health,CDPH,Mental Health & Wellness,2680533.00,2680533.00,2675943.07,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414883,Place-Based Violence Interventions,Chicago Department of Public Health,CDPH,Community Safety,7137966.79,7137966.79,6735860.26,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414884,Community Violence Intervention,Chicago Department of Public Health,CDPH,Community Safety,19114059.77,19114059.77,17881028.71,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414886,Stabilization Housing,Chicago Department of Public Health,CDPH,Housing & Homelessness Supports,5326800.00,5326800.00,2145859.12,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414897,EJ Seed Grants,Chicago Department of Public Health,CDPH,Mental Health & Wellness,1051345.00,1051345.00,1021901.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0414898,Enhanced Data Collection and Analysis,Chicago Department of Public Health,CDPH,Effective Governance,2954497.85,2954497.85,2631916.28,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0484979,Diverse Learners Recovery Fund,Mayor's Office for People with Disabilities,MOPD,Youth & Economy,4920484.00,4920484.00,4920484.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0502005,Essential City Services,Department of Family and Support Services,DFSS,Effective Governance,109961239.29,109961239.29,107190863.51,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504757,Management and Administration,Department of Family and Support Services,DFSS,Effective Governance,1850615.41,1850615.41,1751142.57,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504758,Resiliency Fund 2.0,Department of Family and Support Services,DFSS,Youth & Economy,9012059.86,9012059.86,9012059.86,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504760,Legal Protection Fund,Department of Family and Support Services,DFSS,"Human Rights, Arts & Culture",4500000.00,4500000.00,4479860.12,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504764,Emergency Fund for GBV Survivors,Department of Family and Support Services,DFSS,Community Safety,9821400.56,9821400.56,9811389.94,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504766,211 System,Department of Family and Support Services,DFSS,Mental Health & Wellness,7002229.60,7002229.60,6672964.28,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504782,Rapid Rehousing Program,Department of Family and Support Services,DFSS,Housing & Homelessness Supports,31533707.18,31533707.18,31314931.14,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504783,Re-entry Workforce Development Program,Department of Family and Support Services,DFSS,Youth & Economy,7941919.37,7941919.37,7687911.25,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504787,Chicago Empowerment Fund,Department of Family and Support Services,DFSS,Youth & Economy,31960740.54,31960740.54,31960740.54,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504792,Workforce Development Program,Department of Family and Support Services,DFSS,Youth & Economy,5697517.90,5697517.90,5696657.17,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504793,Youth Intervention Programs,Department of Family and Support Services,DFSS,Community Safety,13997435.79,13997435.79,13878970.06,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504794,Youth Justice Diversion Program,Department of Family and Support Services,DFSS,Community Safety,5498394.51,5498394.51,5010682.25,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504795,My CHI. My Future.,Department of Family and Support Services,DFSS,Youth & Economy,14293877.61,14293877.61,13826025.30,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504796,Gender-Based Violence Victim Services to Young People,Department of Family and Support Services,DFSS,Community Safety,4646992.70,4646992.70,4509443.07,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504797,Legal Services for Gender-Based Violence Survivors,Department of Family and Support Services,DFSS,"Human Rights, Arts & Culture",4045766.98,4045766.98,4017869.63,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504798,Rapid Rehousing Services for Gender-Based Violence Survivors,Department of Family and Support Services,DFSS,Housing & Homelessness Supports,3805158.83,3805158.83,3645554.16,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504799,"Gender-based Violence Prevention, Education, and Training",Department of Family and Support Services,DFSS,Youth & Economy,1005800.66,1005800.66,938179.04,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504892,Community Justice Initiative,Department of Family and Support Services,DFSS,"Human Rights, Arts & Culture",3883892.39,3883892.39,3474698.56,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504893,Youth Opportunity Programs,Department of Family and Support Services,DFSS,Youth & Economy,65986973.27,65986973.27,64382681.76,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504894,Youth Intervention Programs - Service Coordination and Navigation (SCaN),Department of Family and Support Services,DFSS,Community Safety,4663535.26,4663535.26,4400528.58,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0504978,Re-entry Housing Navigation Pilot,Department of Family and Support Services,DFSS,Housing & Homelessness Supports,4898000.00,4898000.00,4897998.73,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0541005,Management and Administration,Department of Planning and Development,DPD,Effective Governance,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
