name,origin,status_2026,announced_investment_usd,year_announced,lead_developers,private_led,public_subsidy_note,investment_note,log_line,confidence,source_urls
"Chicago Bears Stadium Proposal (formerly lakefront/Arlington Heights, now Hammond, IN)",verified,announced,5000000000,2021,"Chicago Bears organization (McCaskey family ownership); Hammond, Indiana city/state officials now lead site sponsors after Illinois path stalled",True,"Indiana has passed legislation supporters say provides up to $1B in incentives/infrastructure support for a Hammond development anchored by the stadium, which would be owned by a state-created stadium authority (Bears retain revenue with a buyback option in ~40 years once Indiana bonds are paid). In Illinois, the Bears sought roughly $855M in state-funded infrastructure plus property-tax certainty","$5 billion is the total development figure (domed stadium plus surrounding mixed-use district) reported June 2026 for the Hammond, IN project, with the Bears committing roughly $2B in private capital and Indiana authorizing legislation for up to $1B in state/local incentives. Independently confirmed via fresh searches: NFL.com, Front Office Sports, Yahoo/ESPN (Schefter), NPR Illinois, and the Sun-","The Bears' new-stadium quest has moved decisively out of Illinois: after the state legislature failed by May 2026 to pass property-tax-certainty legislation for the team's 326-acre Arlington Heights site, the Bears' board voted June 5, 2026 to advance a roughly $5 billion domed stadium and mixed-use district in Hammond, Indiana, though an exact site and final commitment are still pending. The Chic",medium,https://chicago.suntimes.com/bears/2026/06/05/bears-hammond-indiana-board-directors-vote-stadium-arlington-heights-nfl https://chicago.suntimes.com/bears-stadium/2026/05/31/bears-stadium-bill-springfield-arlington-heights-hammond-indiana https://frontofficesports.com/bears-taking-new-5b-stadium-plans-across-state-line-to-indiana/ https://abc7chicago.com/post/chicago-bears-stadium-news-team-advances-hammond-indiana-exploration-new-soil-testing-wolf-lake/19415729/
White Sox South Loop Ballpark Proposal at The 78,verified,stalled,1000000000,2024,"Related Midwest (site master developer); Chicago White Sox, owned by the Reinsdorf family and transitioning to incoming control owner Justin Ishbia",True,"The proposal sought roughly $1B in Illinois state funding/financing support; the legislature did not act on it, and no subsidy has been secured. This is distinct from the Chicago Fire's stadium at the same site, which is privately financed by owner Joe Mansueto (reported at $650M-$750M; broke ground March 3, 2026, no taxpayer dollars).","~$1 billion was the working public-private cost estimate for a standalone White Sox ballpark at The 78 when the ask went to Springfield in 2024-2025; that funding request failed to advance, stalling the plan. Independently confirmed via fresh searches: Sox Machine and Forbes both describe the 'estimated $1 billion stadium.' The 2024 partner-map figure of $4 billion does not match any ballpark-spec","The White Sox's proposed ballpark at Related Midwest's The 78 development stalled in 2025 after Illinois lawmakers declined to fund the roughly $1 billion public ask, and the site's near-term stadium priority shifted to the Chicago Fire's privately financed soccer stadium now under construction there. Incoming White Sox owner Justin Ishbia is separately pursuing an alternate South Loop site (the A",medium,https://blockclubchicago.org/2026/05/01/new-plans-for-possible-south-loop-sox-park-revealed-not-so-fast-says-amtrak/ https://www.forbes.com/sites/philrogers/2025/09/22/white-sox-lose-stadium-direction-with-mls-fire-claiming-the-78/ https://chicago.suntimes.com/white-sox/2026/03/18/justin-ishbia-stadium-white-sox-the-78-amtrak https://therealdeal.com/chicago/2025/06/04/chicago-white-sox-open-to-stadium-move-to-relateds-the-78/
"43 Green (Bronzeville Equitable Transit-Oriented Development, 43rd/Calumet-Prairie)",verified,partially_open,100000000,2019,The Habitat Company and P3 Markets (co-developers),True,"City of Chicago TIF support: at least $5M in TIF funds for Phase I (47th/King TIF) and up to $10M in TIF funds allocated for Phase II, alongside private construction financing; built on formerly vacant city-owned land.","$100 million is the consistently reported total cost for the full three-phase project (Phase 1 ~$37.8M, Phase 2 ~$44M, per Habitat/city figures), cited from the project's 2020 announcement through 2023 city releases. Independently confirmed via fresh searches: Multi-Housing News, Chicago Construction News, Habitat, and P3 Markets all reference the '$100 million' three-phase project. We found no cr","43 Green, Chicago's first equitable transit-oriented development, is a three-phase, roughly 300-unit mixed-income apartment project beside the CTA Green Line in Bronzeville; Phases 1 and 2 (99 and 80 units) are complete and fully leased as of mid-2025, while the roughly 70-unit Phase 3 was targeted for an early-2025 groundbreaking but its current construction status could not be confirmed as of Ju",medium,https://www.chicago.gov/city/en/depts/doh/provdrs/housing_resources/news/2023/january/new--100-million-project--43-green-phase-ii--to-bring-etod-to-br.html https://chicago.urbanize.city/post/habitat-fully-leases-apartments-43-green-phase-2 https://www.multihousingnews.com/the-habitat-co-p3-markets-secure-financing-for-phase-ii-of-100m-chicago-project/ https://blockclubchicago.org/2020/09/29/first-phase-of-100-million-bronzeville-project-will-bring-affordable-housing-near-green-line/
Bally's Chicago Permanent Casino (River West),verified,under_construction,1700000000,2022,Bally's Corporation,True,"Under the 2022 Host Community Agreement, Bally's paid the city a $40M upfront payment plus $4M in annual fixed host-community impact fees, and agreed never to seek reduction of the site's assessed value below $125M. Separately, Bally's has sought an additional property tax break (potentially worth ~$300M over 10 years) that Mayor Brandon Johnson's administration disputes is authorized by the HCA; ","$1.7 billion (sometimes cited as $1.74B) has been the consistent reported total development cost since the City Council's May/December 2022 zoning approvals, matching the 2024 partner-map figure exactly. Independently reconfirmed via fresh searches: casino.org ('$1.7B'), PR Newswire, and Block Club all cite the $1.7 billion figure at the April 30, 2026 topping-off. Construction delays (hotel-tower","Bally's $1.7 billion permanent casino resort at 560 W. Grand Ave. in River West topped off on April 30, 2026, hitting a major construction milestone, with a hotel, 3,400 slot machines, 173 table games, and a 3,000-seat theater now targeted to open in spring 2027 (delayed from earlier 2026 timelines). The temporary casino at Medinah Temple continues operating in the interim, with legislation filed ",high,https://blockclubchicago.org/2026/05/01/ballys-casino-hits-construction-milestone-as-opening-moves-to-early-2027/ https://chicago.suntimes.com/casinos-gambling/2026/04/30/ballys-chicago-casino-construction-opening-2027 https://www.constructiondive.com/news/ballys-chicago-casino-development-tops-off/819432/ https://chicago.suntimes.com/casinos-gambling/2025/01/16/ballys-casino-chicago-tax-break-brandon-johnson
Chase Tower Renovation (JPMorgan Chase Chicago HQ),verified,under_construction,,2024,JPMorgan Chase (owner/financer); Gensler (lead architect),True,No public subsidy (TIF or otherwise) was identified in current reporting; this appears to be an entirely privately financed corporate renovation by JPMorgan Chase.,"No credible total project cost has been disclosed by JPMorgan Chase. Independently reconfirmed via fresh searches: the frequently cited $19M figure is only the value of the initial city permit for exterior/plaza work (approved ~April 2024), not the full renovation cost; JPMorgan has instead publicized indirect economic-impact estimates (~$264M for Cook County, ~$377M for Illinois in construction-r","JPMorgan Chase is carrying out a multi-year, full renovation of its 60-story, 850-foot Chase Tower headquarters in the Loop -- new lobby, plaza, food hall, fitness center, and modernized office floors -- with exterior/plaza work underway through 2025-2026 and completion reported as targeted for around 2026, while the bank temporarily leased additional space at Citadel Center during construction.",medium,https://www.bisnow.com/chicago/news/office/jpmorgan-gets-first-permits-approved-for-chase-tower-renovation-124090 https://www.jpmorganchase.com/newsroom/press-releases/2024/chicago-investment https://therealdeal.com/chicago/2025/04/11/jpmorgan-chase-leases-five-floors-at-chicagos-citadel-tower/ https://www.archpaper.com/2024/02/chicago-gensler-chase-towers-first-major-renovation-decades/
Inherent L3C modular homes (Humboldt Park / Cook County pilot),verified,partially_open,22000000,2022,"Inherent L3C (developer/manufacturer), with Cook County (pilot program funder) and Chicago Development Fund (NMTC allocation)",True,$12M Cook County Board pilot program subsidizes land/development costs for up to 120 homes (built on Cook County Land Bank lots); $10M New Markets Tax Credit allocation (June 2026) via Chicago Development Fund for production-facility scale-up. Not TIF; these are county and federal-tax-credit-linked instruments. Buyers also eligible for $25K down-payment assistance. Private developer despite heavy ,"No single 'total project cost' has been announced. Figure is the sum of two separate public financing instruments tied to Inherent L3C's modular-home production, not a construction budget for one site: (1) $12M Cook County Board pilot program to fund up to 120 affordable modular homes across Humboldt Park, Chicago Heights, and Proviso Township; (2) $10M New Markets Tax Credit allocation from Chica","Small-scale affordable-homeownership initiative: Inherent L3C builds all-electric, factory-built modular single-family homes for Humboldt Park and other West Side/south-suburban sites; first homes opened July 2025 under a $12M Cook County pilot, with a further $10M NMTC deal (June 2026) to scale production toward roughly 120 homes total, not a single mega-project in the stadium/tower sense.",medium,https://chicago.suntimes.com/real-estate/2025/07/02/modular-homes-open-cook-county-pilot-program-inherent-homeownership https://www.chicagobusiness.com/residential-real-estate/inherent-l3c-building-affordable-modular-homes-humboldt-park/ https://chicagodevelopmentfund.org/portfolio-item/inherent-homes/ https://therealdeal.com/chicago/2025/07/03/chicagos-cook-county-invests-in-affordable-modular-homes/
James R. Thompson Center redevelopment (Google Chicago HQ),verified,under_construction,280000000,2022,The Prime Group (Michael Reschke) and Capri Interests/Capri Investment Group (Quintin Primo III) (redevelopment and ownership); Google is anchor tenant and eventual occupant,True,"No confirmed TIF or Class L incentive specifically tied to this redevelopment was found in 2025-2026 coverage reviewed (Cook County's Class L landmark-rehab incentive exists generally but its use here is unconfirmed, flagged not assumed). The core public transaction was the State of Illinois's $105M sale of the building itself in 2022.","Google purchased the state-owned building for $105M in July 2022 (closed 2022). Separately, the Prime Group/Capri-led redevelopment into Google's HQ is reported at ~$280M total renovation cost, carried forward here as the most comprehensive redevelopment figure. A city interior-renovation permit valued at $85M was issued Dec 2025/Jan 2026 (declared construction value, a subset of the $280M). Treat","Helmut Jahn's 1985 postmodern state office building, sold by Illinois to Google for $105M in 2022, is undergoing a reported ~$280M gut renovation (new glass skin, interior build-out) into Google's Chicago headquarters; commercial leasing began March 2026 and base-building work is nearing completion, with Google occupancy now expected in 2027; the building keeps the Thompson Center name.",high,https://chicagoyimby.com/2026/01/google-lands-85-million-permit-for-interior-renovations-at-the-thompson-center.html https://chicago.suntimes.com/real-estate/2024/05/06/thompson-center-google-prime-capri-redevelopment-loop-headquarters https://blockclubchicago.org/2026/03/17/thompson-center-will-keep-its-name-as-google-eyes-2027-move-in/ https://blockclubchicago.org/2022/07/27/google-is-buying-thompson-center/
Obama Presidential Center (Jackson Park),verified,opened,850000000,2016,Obama Foundation (private nonprofit); architects Tod Williams Billie Tsien; Lakeside Alliance as prime construction contractor,True,"No direct city/state cash subsidy or TIF for construction; the principal public component is the long-term land-use/ground lease agreement with the Chicago Park District for the Jackson Park site, plus city-funded road and park reconfiguration (closures/rebuilds of roads through Jackson Park) associated with the project. Fully privately funded construction confirmed.","Final construction cost reported at ~$850M as of the June 19, 2026 (Juneteenth) opening, nearly triple the original ~$300M estimate given around groundbreaking (2021). Figure covers the full 19.3-acre campus (museum, library branch, forum, athletic center, plaza/landscaping), privately funded through the Obama Foundation. ADVERSARIAL FACT-CHECK (July 2026): $850M final cost independently confirmed","Barack Obama's $850M presidential center and library complex on 19.3 acres of Jackson Park opened to the public on June 19, 2026 (Juneteenth), combining museum exhibits, a Chicago Public Library branch, athletic facilities, and public gathering space; the most expensive presidential library ever built, at nearly triple its original budget.",high,https://www.cnbc.com/2026/06/04/barack-obama-presidential-library-opening-chicago.html https://chicago.suntimes.com/chicago/2026/03/07/obama-presidential-center-opening-juneteenth-chicago https://www.archdaily.com/1039482/obama-presidential-center-in-chicagos-jackson-park-set-to-open-on-juneteenth-2026 https://www.cnn.com/2026/06/04/style/obama-presidential-center-first-look-inside
"Pullman hotel (Hampton by Hilton, 111th St./Doty Ave.)",verified,announced,30900000,2022,"Pullman Hotel Group LLC (developer, Andre Garner); site acquired from Chicago Neighborhood Initiatives (CNI, led by David Doig), the nonprofit master developer of the adjacent Pullman Park site; Powers & Sons named as construction partner",True,"$5M City of Chicago Recovery Grant Program grant (announced 2022) helped fund the land purchase from CNI; a further $2.86M TIF grant was approved by City Council (Nov 2025) via the North Pullman/Lake Calumet Area Industrial TIF district. Additional financing includes a $1M We Rise Together grant, $1M equity, a $6M Chicago Community Loan Fund loan, and a $500K Hilton investment. Private developer w","Total project cost reported as $30-30.9M across 2025-2026 coverage (REJournals cites $30.9M; Chicago Sun-Times, Connect CRE, NWI Times, Block Club, and The Real Deal round to $30M), within tolerance, figure retained. Covers a 101-room, four-story (62,000 sq ft) Hampton by Hilton with business center, fitness room, indoor pool, and surface parking. ADVERSARIAL FACT-CHECK (July 2026): the original '","A 101-room, four-story Hampton by Hilton (~$30-31M) planned at 11030 S. Doty Ave. in Pullman, the Far South Side's first nationally branded hotel and the first hotel built south of Hyde Park in over 40 years; fully approved (Plan Commission + CDC) with $2.86M TIF secured Nov 2025 and financing closing pending, construction expected to begin in early 2026 with opening targeted for late 2026/2027 (n",medium,https://therealdeal.com/chicago/2025/09/12/chicago-hotel-development-is-far-south-sides-first-in-decades/ https://www.chicago.gov/city/en/depts/dcd/provdrs/tif/news/2025/november/pullman-hotel-project-approved-for-tif-support.html https://blockclubchicago.org/2022/12/08/101-room-pullman-hotel-project-the-far-south-sides-first-in-40-years-gets-5-million-city-grant/ https://chicago.suntimes.com/real-estate/2025/09/12/chicago-community-development-commission-hampton-hilton-hotel-pullman
"SouthBridge (former Harold Ickes Homes, 23rd/State)",verified,partially_open,,2015,"The Community Builders (TCB) and McCaffery Interests, in partnership with the Chicago Housing Authority (CHA), which owns the underlying site; McHugh Construction and Powers & Sons as builders on Phase 1C",True,"City Council approved ~$22M in public financing for the original 11-acre campus in June 2019; Phase 1C alone carries $11.9M in TIF (approved 2025) plus a CHA capital contribution and CHA rental subsidies for reserved units; Illinois Housing Development Authority and HUD financing also involved across phases. Note: this is a public-private redevelopment of a former CHA public-housing site, CHA is t","No single, current 'total project' figure was found for the full planned build-out (up to 877 units across all phases), so this field is left null rather than guessed. The $97M figure in the 2024 partner map appears to correspond to Phase 1 (1A/1B, 206 units + 16,000 sq ft retail, completed 2021) and is now stale/partial, not a whole-project total. ADVERSARIAL FACT-CHECK (July 2026): the current a","Mixed-income redevelopment of the demolished Harold L. Ickes Homes public housing site at 23rd/State in the South Loop; Phases 1A/1B (206 units) completed in 2021 and occupied, and Phase 1C (a 12-story, 80-unit tower, ~$36.5-48.9M) broke ground in April 2026, with the full 877-unit master plan still only partially realized as of mid-2026.",medium,https://blockclubchicago.org/2026/04/28/southbridge-development-breaks-ground-on-next-phase-of-mixed-income-housing/ https://chicagoyimby.com/2026/03/construction-is-underway-for-12-story-residential-tower-at-southbridge-in-near-south-side.html https://chicago.suntimes.com/real-estate/2026/04/27/harold-ickes-homes-complex-south-loop-southbridge-80-apartments https://therealdeal.com/chicago/2019/06/17/full-speed-ahead-city-approves-millions-in-public-financing-for-long-awaited-ickes-homes-redevelopment/
LaSalle Street Reimagined (program overall),verified,under_construction,900000000,2022,"City-facilitated initiative (Chicago Dept. of Planning & Development) with multiple private developers per building: The Prime Group/Capri Interests, Golub & Company, Lagfin S.C.A./R2 Companies, Riverside Investment & Development/AmTrust Realty, and others",True,"More than $315 million in Tax Increment Financing (LaSalle Central TIF district) approved by City Council across the six projects as of January 2026, plus Class L property tax incentives and landmark designations on multiple buildings; program requires ~30% of units affordable at avg. 60% AMI in exchange for subsidy.","Figure covers the six office-to-residential conversions receiving City financial assistance (111 W. Monroe, 208 S. LaSalle, 30 N. LaSalle, 79 W. Monroe, 135 S. LaSalle, and one additional site), cited as 'more than $900 million' total investment, 1,765 units, 2M+ sq ft — per the Jan. 2025 DPD LaSalle Street Vision plan, still the figure being cited in 2026 coverage. This supersedes the 2024 partne","City-facilitated program launched 2022 to convert vacant/underused Loop office towers along LaSalle Street into mixed-income housing; six subsidized conversions (~1,765 units, $900M+) are moving forward as of mid-2026, with one (79 W. Monroe) pre-leasing and others in demolition/permitting, backed by $315M+ in TIF.",medium,https://blockclubchicago.org/2025/03/27/on-lasalle-street-city-breaks-ground-on-first-office-to-apartments-development/ https://worldbusinesschicago.com/allnews/a-new-vision-for-lasalle-street-chicagos-next-great-neighborhood/ https://www.chicago.gov/city/en/sites/lasalle-street/home.html https://chicago.urbanize.city/post/mayor-johnson-announces-city-assistance-lasalle-street-conversions
111 W Monroe conversion (The Monroe),verified,under_construction,300000000,2023,"The Prime Group (Michael Reschke) and Capri Interests/Capri Investment Group, joint venture (Prime/Capri Interests)",True,"$50 million TIF loan (uncommon structure: 20-year term, interest-only first 5 years) via the LaSalle Central TIF district, approved by the Community Development Commission ~May 2026 and advanced through City Council by June 2026; a separate ~$40M TIF component supports the residential portion per Urbanize CDC coverage.","~$300 million total project cost per 2026 reporting (Chicago YIMBY June 2026, The Real Deal May 2026), of which the hotel component alone is ~$160M; up from the original March 2023 proposal of ~$180M and the 2024 partner-map figure of $203M. Cost has roughly doubled/grown as scope (345 apartments + 226-room hotel + amenity club) firmed up. FACT-CHECK (fresh WebSearch, July 2026): $300M total (hote","Conversion of the 610,000-sq-ft former BMO Harris Bank HQ (1910s high-rise) into 345 apartments (~30% affordable) plus a 226-room hotel and rooftop club; renovation/demolition permit approved April 2026 with a ~$300M budget, construction expected to run into the first half of 2027.",high,https://chicagoyimby.com/2026/06/funding-advances-for-conversion-of-111-west-monroe-street-in-loop.html https://hoodline.com/2026/04/loop-bank-behemoth-finally-ripped-open-for-homes-and-hotel/ https://therealdeal.com/chicago/2026/05/14/reschke-primo-seeking-50-million-loan-to-make-old-bmo-harris-bank-building-into-hybrid-hotel-and-apartments/ https://chicago.urbanize.city/post/interior-demo-permit-issued-111-w-monroe
208 S LaSalle conversion,verified,under_construction,122700000,2023,The Prime Group (Michael Reschke),True,Up to $26.2 million in TIF (LaSalle Central TIF district) approved by City Council for 68 of the 226 units to be affordable at avg. 60% AMI; also received Class L property tax incentive (landmark designated 2007).,"$122.7 million is the figure in the Community Development Commission's official staff report for the finalized 226-unit scope, closely matching the 2024 partner-map figure of $123M. Note press coverage is inconsistent, with some outlets citing $100M and the original March 2023 proposal citing $130M/280 units before the plan was revised down to 226 units. FACT-CHECK (fresh WebSearch, July 2026): $1","Upper floors of the landmark 1914 Continental & Commercial Bank building (already partly a JW Marriott/LaSalle Hotel on lower/upper floors) being converted into 226 mixed-income apartments; a $122.7M project with $26.2M in TIF, interior demolition permit issued June 2026 (buildout permit still pending, no timeline announced).",medium,https://www.preservationchicago.org/win-adaptive-reuse-of-208-s-lasalle-approved-by-chicago-city-council/ https://chicago.urbanize.city/post/interior-demo-permit-issued-residential-conversion-208-s-lasalle https://www.chicagobuildexpo.com/industry-news-1/renderings-emerge-208-s-lasalle-adaptive-reuse https://chicago.urbanize.city/post/cdc-approves-262-million-tif-funding-adaptive-reuse-208-s-lasalle
30 N LaSalle conversion,verified,announced,130000000,2023,Golub & Company (building owned with AIG),True,Up to $57 million in TIF (LaSalle Central TIF district) approved by City Council; Class L property tax incentive and Chicago Landmark designation also approved by City Council in 2026.,"$130 million total redevelopment cost, consistent across City Council TIF-approval coverage (City Council approved $57M TIF toward this $130M project) and matching the unchanged 2024 partner-map figure of $130M. FACT-CHECK (fresh WebSearch, July 2026): $130M total and $57M TIF independently confirmed by the City of Chicago DPD ('TIF Funding Approved for $130 Million Loop Residential Conversion,' F","Golub & Co.'s planned conversion of the 44-story, 986,000-sq-ft tower (built 1974) into 349 mixed-income apartments (105 affordable); a $130M project backed by $57M in TIF, with landmark designation, Class L incentive and rezoning all secured by mid-2026 but construction not yet underway.",high,https://www.chicago.gov/city/en/depts/dcd/provdrs/planning_and_policydivision/news/2026/may/landmark-designation--tax-incentive-approved-for-30-north-lasall.html https://chicagoyimby.com/2026/01/partial-funding-approved-for-conversion-of-30-n-lasalle.html https://chicago.urbanize.city/post/city-council-approves-57-million-tif-30-n-lasalle https://www.bldup.com/posts/chicago-city-council-approves-57m-tif-for-30-n-lasalle-office-to-residential-conversion
79 W Monroe conversion (The Bellwether Residences),verified,partially_open,64200000,2024,R2 Companies and Lagfin S.C.A.,True,$28 million in TIF (LaSalle Central TIF district) approved to support the project.,"$64.2 million total development cost per 2025-2026 reporting (initial estimate was ~$64M at 2025 groundbreaking). The 2024 partner map listed no figure for this project ('unknown'); this is now a confirmed cost from multiple independent sources. FACT-CHECK (fresh WebSearch, July 2026): ~$64M project cost corroborated by city/press coverage of the LaSalle initiative ('79 W. Monroe: a $64 million pr","The first LaSalle Street Reimagined project to break ground (March 2025): conversion of the historic 1905 Rector Building's floors 7-14 into 117 apartments (41 affordable, 35%), rebranded 'The Bellwether Residences'; as of July 2026 it is pre-leasing with move-ins starting August 2026, while some finishing touches (e.g., restoring the building's rooftop bell) were still underway per a July 14, 202",high,https://chicago.suntimes.com/architecture-design/2026/07/14/iconic-loop-weather-bell-rector-bell-federal-savings-loan-shine-again-years-dark https://www.thebellwetherresidences.com/ https://blockclubchicago.org/2025/03/27/on-lasalle-street-city-breaks-ground-on-first-office-to-apartments-development/ https://www.zillow.com/apartments/chicago-il/the-bellwether-residences/CrbNg4/
135 S. LaSalle Street (Field Building) Conversion,verified,under_construction,241500000,2022,"Field Building Revitalization Partners LLC — a joint venture of Riverside Investment & Development, AmTrust RE (AmTrust Realty Corp.), and DL3 Realty (added later as a partner, not a replacement); design by SCB (Solomon Cordwell Buenz)",True,"$98 million in TIF (tax-increment financing) approved by Chicago City Council (fall 2025; CDC/City Council approvals Oct–Nov 2025), plus federal/state historic tax credits, under the city's 'LaSalle Street Reimagined' office-to-residential conversion program (launched by Mayor Lightfoot in Sept. 2022, continued under Mayor Johnson).","CONFIRMED. $241.5M matches independent sources within a rounding margin: the City of Chicago's own DCD release is titled 'TIF Funding Will Support $241.6 Million Field Building Conversion,' and trade press (REJournals, Bisnow, Chicago Construction News) independently cite $241.5M total budget with $98M in city TIF subsidy plus historic tax credits, remainder in developer equity/debt. This supersed","1.35M-sq-ft Art Deco landmark (the Field Building) at LaSalle/Clark/Adams is being converted into 386 apartments (270 market-rate, 116 affordable at 60% AMI) plus 92,000 sq ft of retail/commercial space; City Council approved $98M in TIF/subsidy in fall 2025, and construction was slated to start Q1/spring 2026 with delivery in summer 2027 — the largest and costliest project in the city's LaSalle S",high,https://chicago.urbanize.city/post/city-council-approves-98-million-tif-135-s-lasalle https://www.bisnow.com/chicago/news/office/135-s-lasalle-st-office-to-resi-conversion-131430 https://blockclubchicago.org/2025/03/27/on-lasalle-street-city-breaks-ground-on-first-office-to-apartments-development/ https://www.vvco.com/historic-135-south-lasalle-to-undergo-241m-office-to-residential-conversion-in-chicagos-loop/
105 W. Adams Street (Clark Adams / Bankers Building) Conversion,verified,stalled,183500000,2023,Disputed as of mid-2026: originally Celadon Partners + Blackwood Group (2023 winning LaSalle Street Reimagined proposal); by 2024-2025 Primera Group Inc. (principal Gabriel Martinez) and JV partner Marc Calabria took over site control and drove the TIF/landmark approvals; Celadon and Blackwood sued in Sept. 2025 (a ~$15M suit) alleging they were improperly cut out — control of the project is unresolved.,True,"$67.5 million in TIF approved by Chicago City Council (Sept./Dec. 2025) plus historic tax credits, drawn from the LaSalle Central TIF district under 'LaSalle Street Reimagined'; the building also received preliminary/landmark designation actions in late 2025 that are themselves entangled in the ownership and easement disputes.","CONFIRMED. $183.5M is stated directly by the City of Chicago in both its July 2025 ('TIF Proposed for $183.5 Million Clark Adams Building Conversion') and Sept 2025 ('TIF Funding Approved for $183.5 Million Clark Adams Building Conversion') DCD releases; July 2026 litigation coverage (The Real Deal, Hoodline) rounds this to '$184 million.' Funding stack per the City: $67.5M TIF plus historic tax c","41-story 1927 Art Deco tower (Clark Adams/Bankers Building), long largely vacant, has a City-approved $183.5M plan (with $67.5M in TIF) to convert floors 11-40 into ~400 apartments (30% / ~120 units affordable at 60% AMI); as of July 2026 the project is 'blown off course' (Crain's), with its January 2026 groundbreaking target unmet, clouded both by the Celadon/Blackwood ownership lawsuit AND by Bl",medium,https://therealdeal.com/chicago/2026/07/02/lawsuit-leaves-184-million-loop-office-to-resi-conversion-in-limbo/ https://www.chicagobusiness.com/commercial-real-estate/residential-conversion-clark-adams-building-challenged https://chicago.suntimes.com/real-estate/2025/09/12/celadon-blackwood-developers-sue-loop-primera https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2025/september/tif-funding-approved-for--183-5-million-clark-adams-building-con.html
Chicago Fire FC Stadium at The 78,discovered,under_construction,650000000,2025,Chicago Fire FC (owner Joe Mansueto),True,Stadium itself is privately funded; surrounding infrastructure at The 78 is supported by TIF/public dollars.,"$650M widely cited at the June 2025 unveiling; some outlets later reported ~$750M. This is a distinct privately funded project, separate from the excluded 'The 78' master development (Related Midwest) and the White Sox ballpark proposal on the same 62-acre site.","22,000-seat soccer-specific stadium entirely privately financed by Fire owner Joe Mansueto, anchoring the south end of The 78 riverfront site; broke ground March 2026 for a 2028 MLS-season opening.",high,https://news.wttw.com/2025/06/03/chicago-fire-announces-transformative-privately-financed-650m-soccer-stadium-78 https://www.espn.com/soccer/story/_/id/45443535/chicago-fire-unveil-plans-new-650m-stadium-2028 https://www.chicagofirefc.com/news/historic-day-for-the-city-chicago-fire-fc-breaks-ground-on-privately-funded-soccer-stadium-at-the-78
400 Lake Shore Drive,discovered,under_construction,500000000,2022,Related Midwest,True,,$500M is the secured construction financing for the first (north) tower; the full two-tower buildout is larger. Related Midwest bought the Spire site out of bankruptcy in 2014; the current two-tower SOM plan was unveiled ~2022 with financing in 2024.,"Two-tower luxury residential development (~1,135 units, 1.1M sf) rising on the long-dormant Chicago Spire hole where the river meets Lake Michigan; the 72-story north tower is under construction, opening ~2027.",high,https://www.constructiondive.com/news/related-group-chicago-towers-spire-site/712397/ https://chicago.urbanize.city/post/500-million-construction-funding-secured-400-lake-shore-drive https://chicago.suntimes.com/real-estate/2025/08/11/chicago-spire-400-lake-shore-related-midwest
"Halsted Landing (Onni Group, Goose Island)",discovered,proposed,1100000000,2024,Onni Group,True,,Casino-adjacent. Filed revised $1.1B renderings in 2024; still in approvals/pre-construction as of 2026. Distinct from Onni's nearby Halsted Pointe.,"$1.1B riverfront megaproject of ~2,500 apartments across four towers (up to 650 ft), plus retail, an amphitheater and a water-taxi stop, betting on the adjacent Bally's permanent casino.",high,https://therealdeal.com/chicago/2024/05/20/onni-shapes-1-1b-project-near-ballys-chicago-casino-site/ https://chicago.suntimes.com/real-estate/2024/05/16/halsted-landing-onni-group-goose-island-renderings-mixed-use-development https://www.bldup.com/posts/onni-group-unveils-new-renderings-for-1-1b-halsted-landing-project
"Halsted Pointe (Onni Group, Goose Island)",discovered,under_construction,220000000,2021,Onni Group,True,,$220M is the Phase 1 financing secured in late 2024 ($50M Otera Capital loan + $170M refinancing of Onni's 200 N LaSalle office); the full multi-tower masterplan is substantially larger. Distinct site from Onni's Halsted Landing.,"Multi-tower Goose Island masterplan (ultimately ~2,650 units, a 300-key hotel and retail) on the former Greyhound site; Phase 1's 46-story, 500-ft tower broke ground April 2026 for a ~2028 opening.",high,https://chicagoyimby.com/2026/04/halsted-pointe-begins-construction-on-goose-island.html https://chicago.urbanize.city/post/onni-group-lands-financing-halsted-pointe-phase-1 https://chicagoyimby.com/2024/01/initial-funding-secured-for-first-phase-of-halsted-pointe-on-goose-island.html
Advocate Health Care South Side Investment / New South Works Hospital,discovered,announced,1000000000,2024,Advocate Health Care (Advocate Health),True,Advocate (private nonprofit health system) funds the investment; the broader South Works site redevelopment involves public land and infrastructure.,$1B total: $300M new hospital + $500M ambulatory + $200M chronic-care/maternal/social. Announced December 2024. Sits on a separate portion of the South Works site from the excluded Illinois Quantum & Microelectronics Park.,"$1B South Side health-equity investment anchored by a new $300M, 52-bed hospital on 23 acres of the former U.S. Steel South Works site (near 81st St) to replace aging Trinity Hospital, plus $500M in ambulatory care and $200M in chronic/maternal/social spending.",high,https://www.wbez.org/health-medicine/2024/12/17/advocate-health-care-replace-trinity-hospital https://chicago.suntimes.com/health/2024/12/17/advocate-health-care-replace-trinity-hospital https://blockclubchicago.org/2024/12/17/advocate-building-new-hospital-on-former-south-works-site-will-demolish-trinity-upon-completion/
