name,category,lat,lng,amount_text,link,description
enLabs,Community Led Projects,41.7686001,-87.6455699,,,"A 40k sq ft space to support minority-owned startups/SMEs to launch physical product businesses, while developing a manufacturing workforce program. Led by the Greater Englewood Chamber, Teamwork Englewood, Krimson Technology and MHub."
Firebird Community Arts,Community Led Projects,41.8846537,-87.7092764,,,12k sq ft building for glassblowing workshop with trauma therapy component.
The Forum Bronzeville,Community Led Projects,41.8168275,-87.6186513,,,"Redevelopment for a venue, cafe, recording studio and two other ground-floor retail storefronts."
Full Spectrum Features,Community Led Projects,41.8453534,-87.694103,,,"Project to purchase building, renovate for office space and a small event space/cinema."
Go Green on Racine,Community Led Projects,41.7794425,-87.654916,,https://gogreenonracine.com/projectoverview,"Three projects, the Fresh Market, The Regenerator (a former public school) and Racine Village (mixed-use housing, business incubation and fine dining). Project is a collaboration between IMAN, Teamwork Englewood, RAGE and EG Woode. https://gogreenonracine.com/projectoverview"
Growing Home Urban Farm,Community Led Projects,41.7879747,-87.6694809,,,Expanding to the Wood Street North lot
Homan-Harrison Gateway,Community Led Projects,41.8736294,-87.710785,,,"This new, three story, 16,773 square foot mixed use development will combine five unique local businesses and community-based organizations that serve Homan Square and the North Lawndale community in a singular building. The building will house Alderwoman Scott’s office and café on the ground floor,"
Imani Village,Community Led Projects,41.7209781,-87.6020899,,https://www.imanivillage.com/,"Senior residences, residences, urban farming center, retail center, community health center, boutique hotel. https://www.imanivillage.com/"
The K,Community Led Projects,41.8810196,-87.7358,,,"A social innovation hub = business accelerator, incubator and experiential business learning space."
Latin United Community Housing Assoc,Community Led Projects,41.9098017,-87.7287595,,,Third office space and community space for LUCHA
Now Is the Time: Advancing North Lawndale Together,Community Led Projects,41.8677819,-87.710289,,,"Multiple projects led by Mt Sinai health and the North Lawndale Community Coordinating Council. Projects include the NL Employment Network Workforce Campus, the Lazarus Apartments"
Okpara House,Community Led Projects,41.8967894,-87.6963495,,,A 12k sq ft multipurpose Igbo Cultural center.
Old Fashioned Donuts,Community Led Projects,41.6893609,-87.6213354,,,Update and repair the storefront and units above.
One Lawndale,Community Led Projects,41.858929,-87.703504,,,A Children's Museum and Family Fun groundfloor experience led by NLCCC with Sinai Health.
Pilsen Housing Coopertive Large Site,Community Led Projects,41.8577971,-87.6486235,,,PIHCO already has 3 buildings totalling 18 units to combat displacement in Pilsen. This would partner PIHCO with the City for ~60 of the 432 housing units planned for 18th and Peoria.
Policy Kings,Community Led Projects,41.8021011,-87.6166521,,,"Mixed-Use development from Corey Gilkey and James Daughrity. 18k sq ft with 6 residential units, a restaurant, gym, two storefronts and a frame and printmaking workshop."
Practice Space by Floating Museum,Community Led Projects,41.7584463,-87.6009165,,,"Three buildings for fabrication, staging, recording, broadcasting and artist-in-residence housing"
The Re-Up,Community Led Projects,41.787145,-87.6550315,,,"Led by RAGE, it will be a dine-in restaurant, catering space and offices."
Revitalize Communities,Community Led Projects,41.7512722,-87.6187641,,,"11,400 sq ft lot turned into 43 residential units and ground floor retail"
Rooted and Rising,Community Led Projects,41.8094633,-87.6653884,$69 million,,"$69 million, led by BYNC, 7-story building with 99 residential units, performing arts center, 3 community-based service providers, new CPL branch, federal qualified health center, ground floor retail."
Roseland Community Medical District,Community Led Projects,41.6923045,-87.6252366,$500 million,https://roselandmedicaldistrict.org/ https://www.chicago.gov/city/en/depts/dcd/supp_info/RoselandMedicalDistrict.html,"Estimated ~$500 million, upgrades to Roseland hospital, creation of outpatient facilities https://roselandmedicaldistrict.org/ https://www.chicago.gov/city/en/depts/dcd/supp_info/RoselandMedicalDistrict.html"
Sankofa Wellness Village,Community Led Projects,41.8807309,-87.7256627,,https://sankofawellnessvillage.org/,"Medical care, social services, a third space, community-owned credit union https://sankofawellnessvillage.org/"
South Halsted Gateway,Community Led Projects,41.720539,-87.6435159,$60 million,https://farsouthcdc.org/bcbi,"$60 million , led by Far South Community Dev Corp, a corridor from 95th to 129th. Includes 185 residential units, a POP court, development of vacant land. https://farsouthcdc.org/bcbi"
Starling by Duo,Community Led Projects,41.8589254,-87.7070877,,,"Development of 8 commercial spaces, anchored by Monday Coffee Co"
Twisted Eggrolls,Community Led Projects,41.7364077,-87.607885,,,"Commercial/Production kitchen expansion of 6,500 sq ft."
We're Steel Here,Community Led Projects,41.7297823,-87.54932,,,"78 units of affordable housing, a grocery store, wellness center with a business incubator, two athletic facilities, a performing arts center and an outdoor play space. Boundaries for the projects are 91st to 92nd, Commercial to the Lake. Partnership between Claretian Associates, Interfaith Housing "
The Workshop Arts Collaborative,Community Led Projects,41.9680995,-87.7224113,,,"Rehearsal and instruction studios, pop-up space for food/bev vendors and flexible event space."
Xchange Chicago,Community Led Projects,41.763449,-87.6015883,,https://xchangechicago.org/,"28k tech hub to train workforce for tech jobs. Led by ComerScience, 933, SDI Presence. https://xchangechicago.org/"
115th Red Line Stop RFP,Invest South/West Projects and POP Courts,41.6846984,-87.6217055,,,
Auburn Gresham Apartments,Invest South/West Projects and POP Courts,41.750865,-87.645614,"$43 million; $3,300; $39 million",,"$43 million, Evergreen Imagine, 28 affordable residences and 5,200 sq ft for AYO Foods at 838 w 79th. 30 affordable residences and $3,300 sq ft for KLEO Community Center and The Park Supper Club. Public funds covered $39 million"
Austin United Alliance,Invest South/West Projects and POP Courts,41.8952171,-87.7558327,$38 million,,"$38 million, former Laramie Bank Building and adjacent 20k vacant property. Usage includes, a Blues museum, bank branch, cafe, and business incubator in the Laramie Bank Building and a mixed-income, multi-story reental building next door."
The Ave,Invest South/West Projects and POP Courts,41.8951114,-87.7167714,$25.3 million,,"$25.3 million for a five-story, mixed-use, mixed-income complex with 44 residential units, and 21k sq ft for a restaurant, gym and daycare center."
Englewood Connect,Invest South/West Projects and POP Courts,41.7813231,-87.646415,$10.3 million,,"$10.3 million eco-food hub expanding Englewood Square. Adaptive Reuse of Green Street Fire Station as a commercial kitchen, business incubator, event space and outdoor hoop houses for farming. Additional plans for adjacent housing were scrapped."
Galeria 89,Invest South/West Projects and POP Courts,41.7341848,-87.55177,$36.4 million,,"$36.4 million for a 4-5 story building with 46 affordable units, 12 market-rate units and 4 ground floor retail spaces across 2 buildings."
Gately's People's Store RFP,Invest South/West Projects and POP Courts,41.690291,-87.620613,,,
Lawndale Innovation Center,Invest South/West Projects and POP Courts,41.8669739,-87.7337562,$38.4 million,,"$38.4 million for a 300k sq ft industrial center/warehouses, and a pair of community centers"
Lawndale Redefined,Invest South/West Projects and POP Courts,41.856288,-87.711208,$31.4 million,,"$31.4 million, 64 mixed-income apartments, three market-rate townhomes, retail and restaurant space, a community center with technology and arts programming."
The Legacy District,Invest South/West Projects and POP Courts,41.809181,-87.614637,$19.2 million,,$19.2 million for a six-story building with 25 residential units and 12k sq ft of commercial space.
Roseland Theater RFP,Invest South/West Projects and POP Courts,41.6879775,-87.6205979,,,
Team Pioneros,Invest South/West Projects and POP Courts,41.9101692,-87.7265738,$53.9 million,,"$53.9 million rehab of the Pioneer Bank Building with a business incubator, Latinx cultural center and office space for the lead architect. Next door will be a tower with 75 affordable units, offices for Humboldt Park Family Health and a potential library branch."
Thrive Exchange,Invest South/West Projects and POP Courts,41.7520347,-87.5534452,$100; $150 million,,"~$100-$150 million project that includes 76 luxury workforce apartments, 24 condominiums for sale, a 20k sq ft healthcare center and ground floor retail."
United Yards,Invest South/West Projects and POP Courts,41.808374,-87.663416,$51.5 million,,"$51.5 million, four buildings. New building with 50 affordable units, a ground floor business hub and youth programming space. Repurposed 4-story building with 30 senior residences and a ground floor coffee shop. Two three-flat buildings. Enhancing an existing supportive living center with a medical"
Aspire POPF!t,Invest South/West Projects and POP Courts,41.880868,-87.7637897,,,
Englewood Breakroom - POP,Invest South/West Projects and POP Courts,41.7797611,-87.6632668,,,
Go Green Griot Plaza - POP,Invest South/West Projects and POP Courts,41.7793525,-87.6548756,,,
Mahalia Jackson Court - POP,Invest South/West Projects and POP Courts,41.750677,-87.624407,,,
Overton Exchange Plaza - POP,Invest South/West Projects and POP Courts,41.8054207,-87.6198184,,,
POPCourts!,Invest South/West Projects and POP Courts,41.8947712,-87.757738,,,
POP Grove,Invest South/West Projects and POP Courts,41.8802573,-87.7374208,,,
POP Heights!,Invest South/West Projects and POP Courts,41.689569,-87.641918,,,
Southside Sanctuary - POP,Invest South/West Projects and POP Courts,41.809224,-87.617228,,,
WACA Bell Park - POP,Invest South/West Projects and POP Courts,41.854337,-87.713157,,,
West Humboldt POP!,Invest South/West Projects and POP Courts,41.8956571,-87.7169678,,,
Winthrop Garden - POP,Invest South/West Projects and POP Courts,41.9660609,-87.6572121,,,
